nome,descricao,preco,quantidade_inicial
Elemento Filtrante de Óleo,Cartucho filtrante para o óleo lubrificante,44.50,55
Pastilha de Disco Dianteiro,Pastilha friccionante para freio a disco dianteiro,185.00,32
Correia do Motor,Correia dentada de sincronismo da distribuição,96.00,27
Amortecedor Dianteiro LE,Amortecedor de pressão para suspensão dianteira esquerda,325.00,16
Vela de Platina,Vela de ignição convencional para motores populares,21.00,110
Bomba de Arrefecimento,Bomba d'água centrífuga do sistema de arrefecimento,208.00,22
Rolamento Traseiro,Rolamento de roda eixo traseiro com vedação,142.00,20
Conjunto de Embreagem,Disco de embreagem platô e rolamento de pressão,640.00,11
Bateria Veicular 60Ah,Bateria selada 60 ampères para carros de passeio,385.00,13
Radiador Automotivo,Radiador de alumínio para resfriamento do motor,485.00,9
